State,County,Year,Poverty Rate
Minnesota,Isanti County,2016,7.2
Minnesota,Isanti County,2015,7.4
Minnesota,Isanti County,2014,7.4
Minnesota,Isanti County,2013,7.4
Minnesota,Isanti County,2012,8.1
Minnesota,Isanti County,2011,8.1
Minnesota,Isanti County,2010,8.1
Minnesota,Isanti County,2009,8.1
Minnesota,Itasca County,2018,13.3
Minnesota,Itasca County,2017,12.6
Minnesota,Itasca County,2016,13.3
Minnesota,Itasca County,2015,13.6
Minnesota,Itasca County,2014,13.6
Minnesota,Itasca County,2013,12.5
Minnesota,Itasca County,2012,12.5
Minnesota,Itasca County,2011,12.5
Minnesota,Itasca County,2010,12.5
Minnesota,Itasca County,2009,12.5
Minnesota,Jackson County,2018,7.8
Minnesota,Jackson County,2017,7.7
Minnesota,Jackson County,2016,8.9
Minnesota,Jackson County,2015,10.8
Minnesota,Jackson County,2014,10.8
Minnesota,Jackson County,2013,11.0
Minnesota,Jackson County,2012,11.5
Minnesota,Jackson County,2011,11.5
Minnesota,Jackson County,2010,11.5
Minnesota,Jackson County,2009,11.5
Minnesota,Kanabec County,2018,10.7
Minnesota,Kanabec County,2017,11.6
Minnesota,Kanabec County,2016,13.5
Minnesota,Kanabec County,2015,14.2
Minnesota,Kanabec County,2014,14.2
Minnesota,Kanabec County,2013,12.8
Minnesota,Kanabec County,2012,13.1
Minnesota,Kanabec County,2011,13.1
Minnesota,Kanabec County,2010,13.1
Minnesota,Kanabec County,2009,13.1
Minnesota,Kandiyohi County,2018,10.5
Minnesota,Kandiyohi County,2017,11.3
Minnesota,Kandiyohi County,2016,11.3
Minnesota,Kandiyohi County,2015,11.7
Minnesota,Kandiyohi County,2014,11.7
Minnesota,Kandiyohi County,2013,13.6
Minnesota,Kandiyohi County,2012,12.9
Minnesota,Kandiyohi County,2011,12.9
Minnesota,Kandiyohi County,2010,12.9
Minnesota,Kandiyohi County,2009,12.9
Minnesota,Kittson County,2018,10.6
Minnesota,Kittson County,2017,11.2
Minnesota,Kittson County,2016,11.2
Minnesota,Kittson County,2015,10.9
Minnesota,Kittson County,2014,10.9
Minnesota,Kittson County,2013,9.8
Minnesota,Kittson County,2012,9.2
Minnesota,Kittson County,2011,9.2
Minnesota,Kittson County,2010,9.2
Minnesota,Kittson County,2009,9.2
Minnesota,Koochiching County,2018,16.4
Minnesota,Koochiching County,2017,17.1
Minnesota,Koochiching County,2016,16.9
Minnesota,Koochiching County,2015,15.2
Minnesota,Koochiching County,2014,15.2
Minnesota,Koochiching County,2013,13.0
Minnesota,Koochiching County,2012,12.0
Minnesota,Koochiching County,2011,12.0
Minnesota,Koochiching County,2010,12.0
Minnesota,Koochiching County,2009,12.0
Minnesota,Lac qui Parle County,2018,8.5
Minnesota,Lac qui Parle County,2017,9.3
Minnesota,Lac qui Parle County,2016,8.5
Minnesota,Lac qui Parle County,2015,8.2
Minnesota,Lac qui Parle County,2014,8.2
Minnesota,Lac qui Parle County,2013,8.1
Minnesota,Lac qui Parle County,2012,7.1
Minnesota,Lac qui Parle County,2011,7.1
Minnesota,Lac qui Parle County,2010,7.1
Minnesota,Lac qui Parle County,2009,7.1
Minnesota,Lake County,2018,8.5
Minnesota,Lake County,2017,9.3
Minnesota,Lake County,2016,12.0
Minnesota,Lake County,2015,13.0
Minnesota,Lake County,2014,13.0
Minnesota,Lake County,2013,13.6
Minnesota,Lake County,2012,13.2
Minnesota,Lake County,2011,13.2
Minnesota,Lake County,2010,13.2
Minnesota,Lake County,2009,13.2
Minnesota,Lake of the Woods County,2018,9.2
Minnesota,Lake of the Woods County,2017,7.4
